project,analyzer,D_TP,D_FP,D_FN,D_P,D_R,D_F1,D_SIZE,T_TP,T_FP,T_FN,T_P,T_R,T_F1,T_SIZE
error-prone,build-info-go,17,0,44,100,27,42,61,46,30,7,60,86,70,53,
error-prone,cdxgen,1,2,60,33,1,1,61,27,13,26,67,50,57,53,
error-prone,cyclonedx-maven-plugin,7,2,54,77,11,19,61,23,12,30,65,43,51,53,
error-prone,depscan,7,2,54,77,11,19,61,23,12,30,65,43,51,53,
error-prone,jbom,35,36,26,49,57,52,61,0,1,53,0,0,0,53,
error-prone,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,cdxgen,2,9,189,18,1,1,191,265,40,8,86,97,91,273,
neo4j,cyclonedx-maven-plugin,56,9,135,86,29,43,191,216,37,57,85,79,81,273,
neo4j,depscan,56,9,135,86,29,43,191,216,37,57,85,79,81,273,
neo4j,jbom,0,1,191,0,0,0,191,0,0,273,0,0,0,273,
neo4j,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkstyle,build-info-go,22,0,0,100,100,100,22,35,0,0,100,100,100,35,
checkstyle,cdxgen,8,0,14,100,36,52,22,15,0,20,100,42,59,35,
checkstyle,cyclonedx-maven-plugin,8,0,14,100,36,52,22,15,0,20,100,42,59,35,
checkstyle,depscan,8,0,14,100,36,52,22,15,0,20,100,42,59,35,
checkstyle,jbom,14,8,8,63,63,63,22,0,0,35,0,0,0,35,
checkstyle,openrewrite,8,0,14,100,36,52,22,15,1,20,93,42,57,35,
async-http-client,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
async-http-client,cdxgen,0,3,40,0,0,0,40,25,16,44,60,36,45,69,
async-http-client,cyclonedx-maven-plugin,4,3,36,57,10,17,40,24,13,45,64,34,44,69,
async-http-client,depscan,4,3,36,57,10,17,40,24,13,45,64,34,44,69,
async-http-client,jbom,2,22,38,8,5,6,40,0,0,69,0,0,0,69,
async-http-client,openrewrite,2,0,38,100,5,9,40,0,0,69,0,0,0,69,
jooby,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jooby,cdxgen,0,3,129,0,0,0,129,352,106,16,76,95,84,368,
jooby,cyclonedx-maven-plugin,1,3,128,25,0,0,129,348,107,20,76,94,84,368,
jooby,depscan,1,3,128,25,0,0,129,348,106,20,76,94,84,368,
jooby,jbom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jooby,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alluxio,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alluxio,cdxgen,0,0,143,0,0,0,143,0,0,582,0,0,0,582,
alluxio,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alluxio,depscan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alluxio,jbom,13,1011,130,1,9,1,143,7,33,575,17,1,1,582,
alluxio,openrewrite,4,0,139,100,2,3,143,0,0,582,0,0,0,582,
accumulo,build-info-go,70,0,51,100,57,72,121,107,0,51,100,67,80,158,
accumulo,cdxgen,3,2,118,60,2,3,121,144,18,14,88,91,89,158,
accumulo,cyclonedx-maven-plugin,16,2,105,88,13,22,121,133,15,25,89,84,86,158,
accumulo,depscan,16,2,105,88,13,22,121,133,15,25,89,84,86,158,
accumulo,jbom,0,84,121,0,0,0,121,0,0,158,0,0,0,158,
accumulo,openrewrite,1,0,120,100,0,0,121,1,0,157,100,0,0,158,
orika,build-info-go,19,0,6,100,76,86,25,28,1,2,96,93,94,30,
orika,cdxgen,2,2,23,50,8,13,25,30,17,0,63,100,77,30,
orika,cyclonedx-maven-plugin,2,2,23,50,8,13,25,30,17,0,63,100,77,30,
orika,depscan,2,2,23,50,8,13,25,30,17,0,63,100,77,30,
orika,jbom,3,34,22,8,12,9,25,0,0,30,0,0,0,30,
orika,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flink,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flink,cdxgen,0,0,121,0,0,0,121,0,0,270,0,0,0,270,
flink,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flink,depscan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flink,jbom,0,5,121,0,0,0,121,0,0,270,0,0,0,270,
flink,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mybatis-3,build-info-go,27,0,0,100,100,100,27,37,0,0,100,100,100,37,
mybatis-3,cdxgen,8,0,19,100,29,44,27,11,0,26,100,29,44,37,
mybatis-3,cyclonedx-maven-plugin,8,0,19,100,29,44,27,12,0,25,100,32,48,37,
mybatis-3,depscan,8,0,19,100,29,44,27,11,0,26,100,29,44,37,
mybatis-3,jbom,27,0,0,100,100,100,27,0,0,37,0,0,0,37,
mybatis-3,openrewrite,8,0,19,100,29,44,27,11,1,26,91,29,43,37,
webcam-capture,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
webcam-capture,cdxgen,1,1,15,50,6,10,16,31,72,4,30,88,44,35,
webcam-capture,cyclonedx-maven-plugin,1,1,15,50,6,10,16,31,72,4,30,88,44,35,
webcam-capture,depscan,1,1,15,50,6,10,16,31,72,4,30,88,44,35,
webcam-capture,jbom,8,11,8,42,50,45,16,0,0,35,0,0,0,35,
webcam-capture,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
undertow,build-info-go,11,0,17,100,39,56,28,104,10,3,91,97,93,107,
undertow,cdxgen,0,2,28,0,0,0,28,18,10,89,64,16,25,107,
undertow,cyclonedx-maven-plugin,4,2,24,66,14,23,28,18,6,89,75,16,26,107,
undertow,depscan,4,2,24,66,14,23,28,18,6,89,75,16,26,107,
undertow,jbom,0,77,28,0,0,0,28,0,0,107,0,0,0,107,
undertow,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacop,build-info-go,5,0,1,100,83,90,6,4,0,1,100,80,88,5,
jacop,cdxgen,5,0,1,100,83,90,6,4,0,1,100,80,88,5,
jacop,cyclonedx-maven-plugin,5,0,1,100,83,90,6,4,0,1,100,80,88,5,
jacop,depscan,5,0,1,100,83,90,6,4,0,1,100,80,88,5,
jacop,jbom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacop,openrewrite,5,0,1,100,83,90,6,4,0,1,100,80,88,5,
tika,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tika,cdxgen,6,12,180,33,3,5,186,519,77,44,87,92,89,563,
tika,cyclonedx-maven-plugin,6,12,180,33,3,5,186,520,77,43,87,92,89,563,
tika,depscan,6,12,180,33,3,5,186,519,77,44,87,92,89,563,
tika,jbom,4,493,182,0,2,0,186,7,33,556,17,1,1,563,
tika,openrewrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selenese-runner-java,build-info-go,22,0,0,100,100,100,22,114,0,0,100,100,100,114,
selenese-runner-java,cdxgen,18,0,4,100,81,89,22,90,0,24,100,78,87,114,
selenese-runner-java,cyclonedx-maven-plugin,18,0,4,100,81,89,22,97,0,17,100,85,91,114,
selenese-runner-java,depscan,18,0,4,100,81,89,22,90,0,24,100,78,87,114,
selenese-runner-java,jbom,17,5,5,77,77,77,22,0,0,114,0,0,0,114,
selenese-runner-java,openrewrite,18,0,4,100,81,89,22,90,6,24,93,78,84,114,
CoreNLP,build-info-go,20,0,3,100,86,92,23,12,0,6,100,66,79,18,
CoreNLP,cdxgen,20,0,3,100,86,92,23,12,0,6,100,66,79,18,
CoreNLP,cyclonedx-maven-plugin,20,0,3,100,86,92,23,13,1,5,92,72,80,18,
CoreNLP,depscan,20,0,3,100,86,92,23,12,0,6,100,66,79,18,
CoreNLP,jbom,23,26,0,46,100,63,23,1,7,17,12,5,7,18,
CoreNLP,openrewrite,20,0,3,100,86,92,23,12,2,6,85,66,74,18,
handlebars.java,build-info-go,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handlebars.java,cdxgen,0,6,36,0,0,0,36,74,25,10,74,88,80,84,
handlebars.java,cyclonedx-maven-plugin,4,6,32,40,11,17,36,74,21,10,77,88,82,84,
handlebars.java,depscan,4,6,32,40,11,17,36,74,21,10,77,88,82,84,
handlebars.java,jbom,11,84,25,11,30,16,36,0,0,84,0,0,0,84,
