2023-02-02_15:57:09; list; 0; 0; listname; Java
2023-02-02_15:57:09; list; 0; 0; nbfiles; 1253
2023-02-02_15:57:09; file; 0; 0; filename; .mvn/wrapper/MavenWrapperDownloader.java
2023-02-02_15:57:09; file; 0; 0; lines; 162
2023-02-02_15:57:09; file; 0; 0; basename; MavenWrapperDownloader.java
2023-02-02_15:57:09; file; 0; 0; size; 6128
2023-02-02_15:57:09; file; 0; 0; abort; 1_0
2023-02-02_15:57:09; file; 1; 0; filename; src/test/java/org/apache/ibatis/BaseDataTest.java
2023-02-02_15:57:09; file; 1; 0; lines; 91
2023-02-02_15:57:09; file; 1; 0; basename; BaseDataTest.java
2023-02-02_15:57:09; file; 1; 0; size; 3693
2023-02-02_15:57:09; file; 1; 0; abort; 1_0
2023-02-02_15:57:09; file; 2; 0; filename; src/test/java/org/apache/ibatis/reflection/TypeParameterResolverTest.java
2023-02-02_15:57:09; file; 2; 0; lines; 460
2023-02-02_15:57:10; file; 2; 1; basename; TypeParameterResolverTest.java
2023-02-02_15:57:10; file; 2; 1; size; 18657
2023-02-02_15:57:10; file; 2; 1; abort; 1_0
2023-02-02_15:57:10; file; 3; 0; filename; src/test/java/org/apache/ibatis/reflection/MetaObjectTest.java
2023-02-02_15:57:10; file; 3; 0; lines; 295
2023-02-02_15:57:10; file; 3; 0; basename; MetaObjectTest.java
2023-02-02_15:57:10; file; 3; 0; size; 10399
2023-02-02_15:57:10; file; 3; 0; abort; 1_0
2023-02-02_15:57:10; file; 4; 0; filename; src/test/java/org/apache/ibatis/reflection/ExceptionUtilTest.java
2023-02-02_15:57:10; file; 4; 0; lines; 37
2023-02-02_15:57:10; file; 4; 0; basename; ExceptionUtilTest.java
2023-02-02_15:57:10; file; 4; 0; size; 1608
2023-02-02_15:57:10; file; 4; 0; abort; 1_0
2023-02-02_15:57:10; file; 5; 0; filename; src/test/java/org/apache/ibatis/reflection/ReflectorTest.java
2023-02-02_15:57:10; file; 5; 0; lines; 324
2023-02-02_15:57:10; file; 5; 0; basename; ReflectorTest.java
2023-02-02_15:57:10; file; 5; 0; size; 11908
2023-02-02_15:57:10; file; 5; 0; abort; 1_0
2023-02-02_15:57:10; file; 6; 0; filename; src/test/java/org/apache/ibatis/reflection/MetaClassTest.java
2023-02-02_15:57:10; file; 6; 0; lines; 144
2023-02-02_15:57:10; file; 6; 0; basename; MetaClassTest.java
2023-02-02_15:57:10; file; 6; 0; size; 6082
2023-02-02_15:57:10; file; 6; 0; abort; 1_0
2023-02-02_15:57:10; file; 7; 0; filename; src/test/java/org/apache/ibatis/reflection/ArrayUtilTest.java
