project,analyzer,D_P,D_R,D_F,SIZE,T_P,T_R,T_F,SIZE
error-prone,build-info-go,100,27.87,43.59,61,60.53,86.79,71.32,53
error-prone,cdxgen,33.33,1.64,3.12,61,67.5,50.94,58.06,53
error-prone,cyclonedx-maven-plugin,77.78,11.48,20,61,65.71,43.4,52.27,53
error-prone,depscan,77.78,11.48,20,61,65.71,43.4,52.27,53
error-prone,jbom,49.3,57.38,53.03,61,0,0,0,53
error-prone,openrewrite,0,0,0,0,0,0,0,0
neo4j,build-info-go,0,0,0,0,0,0,0,0
neo4j,cdxgen,18.18,1.05,1.98,191,86.89,97.07,91.7,273
neo4j,cyclonedx-maven-plugin,86.15,29.32,43.75,191,85.38,79.12,82.13,273
neo4j,depscan,86.15,29.32,43.75,191,85.38,79.12,82.13,273
neo4j,jbom,0,0,0,191,0,0,0,273
neo4j,openrewrite,0,0,0,0,0,0,0,0
checkstyle,build-info-go,100,100,100,22,100,100,100,35
checkstyle,cdxgen,100,36.36,53.33,22,100,42.86,60,35
checkstyle,cyclonedx-maven-plugin,100,36.36,53.33,22,100,42.86,60,35
checkstyle,depscan,100,36.36,53.33,22,100,42.86,60,35
checkstyle,jbom,63.64,63.64,63.64,22,0,0,0,35
checkstyle,openrewrite,100,36.36,53.33,22,93.75,42.86,58.82,35
async-http-client,build-info-go,0,0,0,0,0,0,0,0
async-http-client,cdxgen,0,0,0,40,60.98,36.23,45.45,69
async-http-client,cyclonedx-maven-plugin,57.14,10,17.02,40,64.86,34.78,45.28,69
async-http-client,depscan,57.14,10,17.02,40,64.86,34.78,45.28,69
async-http-client,jbom,8.33,5,6.25,40,0,0,0,69
async-http-client,openrewrite,100,5,9.52,40,0,0,0,69
jooby,build-info-go,0,0,0,0,0,0,0,0
jooby,cdxgen,0,0,0,129,76.86,95.65,85.23,368
jooby,cyclonedx-maven-plugin,25,0.78,1.5,129,76.48,94.57,84.57,368
jooby,depscan,25,0.78,1.5,129,76.65,94.57,84.67,368
jooby,jbom,0,0,0,0,0,0,0,0
jooby,openrewrite,0,0,0,0,0,0,0,0
alluxio,build-info-go,0,0,0,0,0,0,0,0
alluxio,cdxgen,0,0,0,143,0,0,0,582
alluxio,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0
alluxio,depscan,0,0,0,0,0,0,0,0
alluxio,jbom,1.27,9.09,2.23,143,17.5,1.2,2.25,582
alluxio,openrewrite,100,2.8,5.44,143,0,0,0,582
accumulo,build-info-go,100,57.85,73.3,121,100,67.72,80.75,158
accumulo,cdxgen,60,2.48,4.76,121,88.89,91.14,90,158
accumulo,cyclonedx-maven-plugin,88.89,13.22,23.02,121,89.86,84.18,86.93,158
accumulo,depscan,88.89,13.22,23.02,121,89.86,84.18,86.93,158
accumulo,jbom,0,0,0,121,0,0,0,158
accumulo,openrewrite,100,0.83,1.64,121,100,0.63,1.26,158
orika,build-info-go,100,76,86.36,25,96.55,93.33,94.92,30
orika,cdxgen,50,8,13.79,25,63.83,100,77.92,30
orika,cyclonedx-maven-plugin,50,8,13.79,25,63.83,100,77.92,30
orika,depscan,50,8,13.79,25,63.83,100,77.92,30
orika,jbom,8.11,12,9.68,25,0,0,0,30
orika,openrewrite,0,0,0,0,0,0,0,0
flink,build-info-go,0,0,0,0,0,0,0,0
flink,cdxgen,0,0,0,121,0,0,0,270
flink,cyclonedx-maven-plugin,0,0,0,0,0,0,0,0
flink,depscan,0,0,0,0,0,0,0,0
flink,jbom,0,0,0,121,0,0,0,270
flink,openrewrite,0,0,0,0,0,0,0,0
mybatis-3,build-info-go,100,100,100,27,100,100,100,37
mybatis-3,cdxgen,100,29.63,45.71,27,100,29.73,45.83,37
mybatis-3,cyclonedx-maven-plugin,100,29.63,45.71,27,100,32.43,48.98,37
mybatis-3,depscan,100,29.63,45.71,27,100,29.73,45.83,37
mybatis-3,jbom,100,100,100,27,0,0,0,37
mybatis-3,openrewrite,100,29.63,45.71,27,91.67,29.73,44.9,37
webcam-capture,build-info-go,0,0,0,0,0,0,0,0
