2023-01-31_13:48:03; list; 0; 0; listname; Java
2023-01-31_13:48:03; list; 0; 0; nbfiles; 358
2023-01-31_13:48:03; file; 0; 0; filename; sorald/spooned/NestedInNestedGuiClass.java
2023-01-31_13:48:03; file; 0; 0; lines; 6
2023-01-31_13:48:04; file; 0; 1; basename; NestedInNestedGuiClass.java
2023-01-31_13:48:04; file; 0; 1; size; 230
2023-01-31_13:48:04; file; 0; 1; abort; 1_0
2023-01-31_13:48:04; file; 1; 0; filename; sorald/target/test-classes/NOSONARCommentTest.java
2023-01-31_13:48:04; file; 1; 0; lines; 11
2023-01-31_13:48:04; file; 1; 0; basename; NOSONARCommentTest.java
2023-01-31_13:48:04; file; 1; 0; size; 288
2023-01-31_13:48:04; file; 1; 0; abort; 1_0
2023-01-31_13:48:04; file; 2; 0; filename; sorald/target/test-classes/MultipleProcessors.java
2023-01-31_13:48:04; file; 2; 0; lines; 17
2023-01-31_13:48:04; file; 2; 0; basename; MultipleProcessors.java
2023-01-31_13:48:04; file; 2; 0; size; 471
2023-01-31_13:48:04; file; 2; 0; abort; 1_0
2023-01-31_13:48:04; file; 3; 0; filename; sorald/target/test-classes/ArrayHashCodeAndToString.java
2023-01-31_13:48:04; file; 3; 0; lines; 29
2023-01-31_13:48:04; file; 3; 0; basename; ArrayHashCodeAndToString.java
2023-01-31_13:48:04; file; 3; 0; size; 855
2023-01-31_13:48:04; file; 3; 0; abort; 1_0
2023-01-31_13:48:04; file; 4; 0; filename; sorald/target/test-classes/WithMethodSuppressedS2116.java
2023-01-31_13:48:04; file; 4; 0; lines; 8
2023-01-31_13:48:04; file; 4; 0; basename; WithMethodSuppressedS2116.java
2023-01-31_13:48:04; file; 4; 0; size; 261
2023-01-31_13:48:04; file; 4; 0; abort; 1_0
2023-01-31_13:48:04; file; 5; 0; filename; sorald/target/test-classes/scenario_test_files/simple-java8-maven-project/src/test/java/sorald/test/AppTest.java
2023-01-31_13:48:04; file; 5; 0; lines; 39
2023-01-31_13:48:04; file; 5; 0; basename; AppTest.java
2023-01-31_13:48:04; file; 5; 0; size; 682
