#Framework
# uuid;1088c769-bde2-46b7-a8ad-465ae0b4ba90
# version_highlight;5.4.61-RELEASE
# start_date;20230131_1348
name;techno;min;max;module;module_version;type;environment;pattern;description;editor;license;analyzer_status;artifact
org.apache.maven;Java;;;maven-plugin-api;3.8.7;;maven;;Maven Core classes.;https://mvnrepository.com/artifact/org.apache.maven/maven-core;Apache;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
fr.inria.gforge.spoon;Java;;;spoon-core;10.3.0-beta-11;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/pom.xml;
org.apache.maven.scm;Java;;;maven-scm-provider-gitexe;1.13.0;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/pom.xml;
org.apache.maven.scm;Java;;;maven-scm-api;1.13.0;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/pom.xml;
se.kth.castor;Java;;;sorald-api;0.0.4-SNAPSHOT;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
com.google.auto.service;Java;;;auto-service;1.0.1;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/pom.xml;
com.google.code.findbugs;Java;;;jsr305;3.0.2;;maven;;JSR305 Annotations for Findbugs;https://mvnrepository.com/artifact/com.google.code.findbugs/jsr305;Apache;TBC;/home/aman/spoonlabs/sorald/pom.xml;
org.json;Java;;;json;20220924;;maven;;JSON is a light-weight, language independent, data interchange format.;https://mvnrepository.com/artifact/org.json/json;JSON;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
commons-io;Java;;;commons-io;2.11.0;;maven;;The Apache Commons IO library contains utility classes, stream implementations, file filters,;https://mvnrepository.com/artifact/commons-io/commons-io;Apache;TBC;/home/aman/spoonlabs/sorald/pom.xml;
info.picocli;Java;;;picocli;4.6.3;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
info.picocli;Java;;;picocli-codegen;4.6.3;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
org.eclipse.jgit;Java;;;org.eclipse.jgit;6.4.0.202211300538-r;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/pom.xml;
org.sonarsource.sonarlint.core;Java;;;sonarlint-core;8.11.0.56591;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
org.apache.maven.plugin-tools;Java;;;maven-plugin-annotations;3.7.1;;maven;;Java 5 annotations to use in Mojos;https://mvnrepository.com/artifact/org.apache.maven.plugin-tools/maven-plugin-annotations;Apache;TBC;/home/aman/spoonlabs/sorald/sorald/pom.xml;
junit;Java;1.9.2;1.9.2;;;;filename;junit-platform-commons-1.9.2.jar;JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.;https://mvnrepository.com/artifact/junit/junit;EPL;discovered;/home/aman/spoonlabs/sorald/sorald/target/dependency/;
junit;Java;5.9.2;5.9.2;;;;filename;junit-jupiter-api-5.9.2.jar;JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.;https://mvnrepository.com/artifact/junit/junit;EPL;discovered;/home/aman/spoonlabs/sorald/sorald/target/dependency/;
fr.inria.gforge.spoon.labs;Java;;;gumtree-spoon-ast-diff;1.24;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/target/test-classes/scenario_test_files/classpath-dependent-project/pom.xml;
fr.inria.gforge.spoon.labs;Java;;;gumtree-spoon-ast-diff;1.24;;maven;;;;;TBC;/home/aman/spoonlabs/sorald/sorald/src/test/resources/scenario_test_files/classpath-dependent-project/pom.xml;
